tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,train_sharpe,train_mean,train_rank,test_sharpe,test_mean,test_rank,train_start,test_start,note
0.22,0.25,0.6,0.9,1.2,0.44460378661236366,0.08190438829518058,1.0,-0.32343503230700843,-0.048158741809168785,590.0,2021-01-08,2021-04-09,train_top5
0.18,0.25,0.6,0.9,1.2,0.4441589522209197,0.07895302173864716,2.0,-0.34708774312844226,-0.05003556829615116,695.0,2021-01-08,2021-04-09,train_top5
0.22,0.25,0.6,0.7,1.2,0.44363890344367335,0.08147489086959941,3.0,-0.3259404686920808,-0.048370309226232894,604.0,2021-01-08,2021-04-09,train_top5
0.22,0.25,0.6,0.5,1.2,0.443476585634089,0.08140708879057001,4.0,-0.3259404686920808,-0.048370309226232894,604.0,2021-01-08,2021-04-09,train_top5
0.18,0.22,0.6,0.9,1.4,0.44314587346660067,0.08267519548423967,5.0,-0.30203851885911664,-0.0465153220271649,481.0,2021-01-08,2021-04-09,train_top5
0.15,0.25,0.4,0.7,1.6,0.4359147650985825,0.07904062566284384,144.0,-0.33747409748064877,-0.04945443511296557,650.0,2021-01-08,2021-04-09,baseline
0.3,0.4,0.6,0.9,2.0,0.248880968567881,0.06525722269326752,1.0,0.48238069691752533,0.1366220304478941,238.0,2021-02-05,2021-05-07,train_top5
0.3,0.4,0.6,0.7,2.0,0.24678895785908483,0.06452259649969533,2.0,0.48238069691752533,0.1366220304478941,238.0,2021-02-05,2021-05-07,train_top5
0.3,0.4,0.5,0.9,2.0,0.2466875730487314,0.0629441398341965,3.0,0.4846494194345875,0.1357408760434096,142.0,2021-02-05,2021-05-07,train_top5
0.3,0.4,0.6,0.5,2.0,0.2465327821550216,0.06443083278998317,4.0,0.48238069691752533,0.1366220304478941,238.0,2021-02-05,2021-05-07,train_top5
0.22,0.4,0.6,0.9,2.0,0.24557022202905576,0.06117269786880582,5.0,0.480905058571215,0.12920172281306305,328.0,2021-02-05,2021-05-07,train_top5
0.15,0.25,0.4,0.7,1.6,0.2018101370626039,0.03709806130737377,546.0,0.47777322292924473,0.09531701446901715,457.0,2021-02-05,2021-05-07,baseline
0.3,0.4,0.6,0.9,2.0,0.2074557396243836,0.05478415810354095,1.0,0.25740796231702423,0.04828512360900684,1123.0,2021-03-12,2021-06-04,train_top5
0.3,0.4,0.6,0.7,2.0,0.2053693618134629,0.054081741141136314,2.0,0.25740796231702423,0.04828512360900684,1123.0,2021-03-12,2021-06-04,train_top5
0.3,0.4,0.6,0.5,2.0,0.20510147910710905,0.05398997743142417,3.0,0.25740796231702423,0.04828512360900684,1123.0,2021-03-12,2021-06-04,train_top5
0.3,0.4,0.5,0.9,2.0,0.2045343445383667,0.05260455666483531,4.0,0.2631115459628389,0.05403918540436232,1120.0,2021-03-12,2021-06-04,train_top5
0.3,0.4,0.6,0.9,1.8,0.204391771829347,0.051987024348950084,5.0,0.26370263789305737,0.048055277292195525,1117.0,2021-03-12,2021-06-04,train_top5
0.15,0.25,0.4,0.7,1.6,0.13976063262433114,0.025921283825584347,580.0,0.3246694302880013,0.05317058045320205,349.0,2021-03-12,2021-06-04,baseline
0.3,0.4,0.5,0.9,2.0,0.2157797516468721,0.052776994345587844,1.0,-0.17108452720515338,-0.028008323762414588,3.0,2021-04-09,2021-07-02,train_top5
0.3,0.4,0.5,0.5,2.0,0.21553719865055215,0.05269790372238631,2.0,-0.17045267315545368,-0.02792372850999772,1.0,2021-04-09,2021-07-02,train_top5
0.3,0.4,0.5,0.7,2.0,0.21553719865055215,0.05269790372238631,2.0,-0.17045267315545368,-0.02792372850999772,1.0,2021-04-09,2021-07-02,train_top5
0.22,0.4,0.5,0.9,2.0,0.21412999324616294,0.04984951857802962,4.0,-0.19100095155486013,-0.030075318855867943,27.0,2021-04-09,2021-07-02,train_top5
0.3,0.4,0.5,0.9,1.8,0.21409974025843712,0.05025836550134239,5.0,-0.17605688711147344,-0.02844721668505933,9.0,2021-04-09,2021-07-02,train_top5
0.15,0.25,0.4,0.7,1.6,0.18155013790400018,0.03301105326975121,540.0,-0.2220601831777985,-0.031953226774273806,347.0,2021-04-09,2021-07-02,baseline
0.3,0.4,0.5,0.5,1.8,0.23353569962096554,0.052253677125766756,1.0,-0.46695008702607965,-0.056472847191200506,770.0,2021-05-07,2021-07-30,train_top5
0.3,0.4,0.5,0.7,1.8,0.23353569962096554,0.052253677125766756,1.0,-0.46695008702607965,-0.056472847191200506,770.0,2021-05-07,2021-07-30,train_top5
0.3,0.4,0.5,0.9,1.8,0.23342726972923147,0.052225478708294464,3.0,-0.46852285737113464,-0.056569259702925534,790.0,2021-05-07,2021-07-30,train_top5
0.3,0.4,0.5,0.5,2.0,0.2329952255258576,0.05395211097925808,4.0,-0.4638909293053294,-0.05637284719120051,720.0,2021-05-07,2021-07-30,train_top5
0.3,0.4,0.5,0.7,2.0,0.2329952255258576,0.05395211097925808,4.0,-0.4638909293053294,-0.05637284719120051,720.0,2021-05-07,2021-07-30,train_top5
0.15,0.25,0.4,0.7,1.6,0.2174507988748389,0.038844789382648466,430.0,-0.44134727066416374,-0.05171186682195891,336.0,2021-05-07,2021-07-30,baseline
0.3,0.4,0.5,0.5,2.0,-0.058114072687805406,-0.010085796765611962,1.0,-0.16024061359301758,-0.029441162436486045,1.0,2021-06-04,2021-08-27,train_top5
0.3,0.4,0.5,0.7,2.0,-0.058114072687805406,-0.010085796765611962,1.0,-0.16024061359301758,-0.029441162436486045,1.0,2021-06-04,2021-08-27,train_top5
0.3,0.4,0.5,0.9,2.0,-0.058485235562103784,-0.010146132686992597,3.0,-0.16024061359301758,-0.029441162436486045,1.0,2021-06-04,2021-08-27,train_top5
0.15,0.4,0.5,0.5,2.0,-0.06057572350556783,-0.009821274894447573,4.0,-0.2001376012084937,-0.03358001828305859,64.0,2021-06-04,2021-08-27,train_top5
0.15,0.4,0.5,0.7,2.0,-0.06057572350556783,-0.009821274894447573,4.0,-0.2001376012084937,-0.03358001828305859,64.0,2021-06-04,2021-08-27,train_top5
0.15,0.25,0.4,0.7,1.6,-0.06778248733719268,-0.010164837714343549,227.0,-0.2601676496899362,-0.038709079679403124,505.0,2021-06-04,2021-08-27,baseline
0.3,0.4,0.5,0.5,2.0,-0.2383947810922942,-0.03791257937922809,1.0,0.4767026086660439,0.0977528561235073,922.0,2021-07-02,2021-09-24,train_top5
0.3,0.4,0.5,0.7,2.0,-0.2383947810922942,-0.03791257937922809,1.0,0.4767026086660439,0.0977528561235073,922.0,2021-07-02,2021-09-24,train_top5
0.3,0.4,0.5,0.9,2.0,-0.23890441220017825,-0.03797291530060872,3.0,0.4767026086660439,0.0977528561235073,922.0,2021-07-02,2021-09-24,train_top5
0.3,0.4,0.6,0.5,2.0,-0.24036509201959863,-0.03805469824227718,4.0,0.47781031031979876,0.0979123418130231,906.0,2021-07-02,2021-09-24,train_top5
0.3,0.4,0.6,0.7,2.0,-0.24036509201959863,-0.03805469824227718,4.0,0.47781031031979876,0.0979123418130231,906.0,2021-07-02,2021-09-24,train_top5
0.15,0.25,0.4,0.7,1.6,-0.29652361306229386,-0.04079139109187861,392.0,0.4969785232766576,0.0854714612005402,137.0,2021-07-02,2021-09-24,baseline
0.3,0.4,0.6,0.5,2.0,0.02164918090041965,0.004032777395112183,1.0,0.5852595917734819,0.09070775585074661,1123.0,2021-07-30,2021-10-22,train_top5
0.3,0.4,0.6,0.7,2.0,0.02164918090041965,0.004032777395112183,1.0,0.5852595917734819,0.09070775585074661,1123.0,2021-07-30,2021-10-22,train_top5
0.3,0.4,0.6,0.9,2.0,0.021480444871942138,0.0040006398912038384,3.0,0.5852595917734819,0.09070775585074661,1123.0,2021-07-30,2021-10-22,train_top5
0.3,0.4,0.5,0.5,2.0,0.02136090599534173,0.003979615498606925,4.0,0.5857770745744536,0.09077138608480938,1117.0,2021-07-30,2021-10-22,train_top5
0.3,0.4,0.5,0.7,2.0,0.02136090599534173,0.003979615498606925,4.0,0.5857770745744536,0.09077138608480938,1117.0,2021-07-30,2021-10-22,train_top5
0.15,0.25,0.4,0.7,1.6,-0.010303850309507524,-0.001649828433607281,386.0,0.6465641264699681,0.0842694400069462,703.0,2021-07-30,2021-10-22,baseline
0.18,0.4,0.5,0.9,1.6,0.2776891917182212,0.04919111658946451,1.0,-0.2582935894998677,-0.026451315263721638,1052.0,2021-08-27,2021-11-19,train_top5
0.18,0.4,0.5,0.5,1.6,0.27760996856970116,0.04917488055676752,2.0,-0.2567083098921026,-0.02631703200344651,1050.0,2021-08-27,2021-11-19,train_top5
0.3,0.4,0.5,0.5,1.6,0.27760400263163004,0.052157564937560054,3.0,-0.2874089265404033,-0.028669561305409083,1110.0,2021-08-27,2021-11-19,train_top5
0.3,0.4,0.5,0.7,1.6,0.27760400263163004,0.052157564937560054,3.0,-0.2874089265404033,-0.028669561305409083,1110.0,2021-08-27,2021-11-19,train_top5
0.3,0.4,0.5,0.9,1.6,0.27760400263163004,0.052157564937560054,3.0,-0.2868554169200017,-0.02862984824306204,1102.0,2021-08-27,2021-11-19,train_top5
0.15,0.25,0.4,0.7,1.6,0.26935309600952534,0.04367727384269442,449.0,-0.21782058885857658,-0.023102120604135416,578.0,2021-08-27,2021-11-19,baseline
0.12,0.18,0.5,0.7,1.2,0.347067922220966,0.04539219350318329,1.0,-0.6284815642224691,-0.05460771296657264,359.0,2021-09-24,2021-12-17,train_top5
0.12,0.18,0.5,0.5,1.2,0.3466775689932975,0.045334552241876436,2.0,-0.6351989843043575,-0.054905624099618876,527.0,2021-09-24,2021-12-17,train_top5
0.15,0.18,0.5,0.7,1.2,0.3464067837296736,0.04698764263236187,3.0,-0.6152543959255834,-0.054448593389262424,114.0,2021-09-24,2021-12-17,train_top5
0.12,0.18,0.5,0.9,1.2,0.3463792384939679,0.04530085777728889,4.0,-0.6343822321854425,-0.05489582964613967,502.0,2021-09-24,2021-12-17,train_top5
0.15,0.18,0.5,0.5,1.2,0.34597936061310464,0.04692168214119739,5.0,-0.6199225693907615,-0.05465494119363802,186.0,2021-09-24,2021-12-17,train_top5
0.15,0.25,0.4,0.7,1.6,0.33058347153201983,0.04887959353445032,554.0,-0.6159557663392208,-0.05533185636680472,131.0,2021-09-24,2021-12-17,baseline
0.15,0.18,0.5,0.7,1.2,0.03276901356404635,0.0039577210138970285,1.0,0.0016062375614663688,0.00020351501687106198,777.0,2021-10-22,2022-01-14,train_top5
0.15,0.18,0.5,0.5,1.2,0.031678946604992986,0.0038229779212740223,2.0,0.0004462041675346986,5.6477652680424485e-05,791.0,2021-10-22,2022-01-14,train_top5
0.15,0.18,0.6,0.7,1.2,0.03149774100845174,0.003795341725562243,3.0,0.0014617318089534077,0.00018513573533388561,779.0,2021-10-22,2022-01-14,train_top5
0.15,0.18,0.5,0.9,1.2,0.030643409483390695,0.0036971472583507215,4.0,0.002551722850893167,0.0003236734901864324,769.0,2021-10-22,2022-01-14,train_top5
0.15,0.18,0.6,0.5,1.2,0.030404206893065156,0.0036605986329392368,5.0,0.00030111190499875943,3.80983711432481e-05,792.0,2021-10-22,2022-01-14,train_top5
0.15,0.25,0.4,0.7,1.6,0.015542065193814016,0.0019451543453353596,543.0,0.023720829482907123,0.003274498175235041,384.0,2021-10-22,2022-01-14,baseline
0.22,0.25,0.3,0.5,1.2,-0.1861414879892609,-0.022517273944135444,1.0,-0.6214515651835573,-0.060204088083314226,3.0,2021-11-19,2022-02-18,train_top5
0.22,0.25,0.3,0.7,1.2,-0.1887475617347698,-0.022803969283943584,2.0,-0.6214515651835573,-0.060204088083314226,3.0,2021-11-19,2022-02-18,train_top5
0.22,0.25,0.3,0.9,1.2,-0.18932779203310382,-0.02286034370596574,3.0,-0.6214515651835573,-0.060204088083314226,3.0,2021-11-19,2022-02-18,train_top5
0.18,0.22,0.3,0.5,1.6,-0.19000309051561123,-0.02296676371900982,4.0,-0.6631202922811119,-0.06184166753627871,53.0,2021-11-19,2022-02-18,train_top5
0.18,0.22,0.3,0.7,1.6,-0.19051165231598288,-0.023026136923104804,5.0,-0.6623665573611301,-0.06180762588762075,52.0,2021-11-19,2022-02-18,train_top5
0.15,0.25,0.4,0.7,1.6,-0.2167031718163176,-0.02505315959856836,399.0,-0.7104383372146799,-0.06268454129445042,378.0,2021-11-19,2022-02-18,baseline
0.18,0.22,0.3,0.5,1.6,-0.30812560730411936,-0.03621674592684067,1.0,-0.7392885750637552,-0.06318482340815643,289.0,2021-12-17,2022-03-18,train_top5
0.18,0.22,0.3,0.7,1.6,-0.3084229951211648,-0.036251201419217186,2.0,-0.7392885750637552,-0.06318482340815643,289.0,2021-12-17,2022-03-18,train_top5
0.22,0.25,0.3,0.5,1.2,-0.3092608258311569,-0.03611100393514822,3.0,-0.7165073851310931,-0.06259209886024567,4.0,2021-12-17,2022-03-18,train_top5
0.18,0.22,0.3,0.9,1.6,-0.31077190382624764,-0.036464997844396496,4.0,-0.7392885750637552,-0.06318482340815643,289.0,2021-12-17,2022-03-18,train_top5
0.22,0.25,0.3,0.7,1.2,-0.31137145044132974,-0.03631934352093496,5.0,-0.7165073851310931,-0.06259209886024567,4.0,2021-12-17,2022-03-18,train_top5
0.15,0.25,0.4,0.7,1.6,-0.34198577357972054,-0.038247299828673365,353.0,-0.7533149735038099,-0.06345675972159348,688.0,2021-12-17,2022-03-18,baseline
0.22,0.25,0.3,0.9,1.2,-0.3308941780996899,-0.03861550417477402,1.0,-0.628786875250915,-0.061986273895590326,16.0,2022-01-14,2022-04-15,train_top5
0.22,0.25,0.3,0.7,1.2,-0.3313199103221802,-0.038645422611651326,2.0,-0.628786875250915,-0.061986273895590326,16.0,2022-01-14,2022-04-15,train_top5
0.22,0.25,0.3,0.5,1.2,-0.331685513781858,-0.03867277401243688,3.0,-0.628786875250915,-0.061986273895590326,16.0,2022-01-14,2022-04-15,train_top5
0.18,0.22,0.3,0.9,1.6,-0.3333059763324175,-0.03896148615051461,4.0,-0.6837152114862357,-0.06452762235739737,367.0,2022-01-14,2022-04-15,train_top5
0.18,0.22,0.3,0.7,1.6,-0.33352520251931966,-0.03897209911404927,5.0,-0.6837152114862357,-0.06452762235739737,367.0,2022-01-14,2022-04-15,train_top5
0.15,0.25,0.4,0.7,1.6,-0.3694261380355721,-0.04095560094693628,399.0,-0.7041418947668538,-0.06417367338055438,580.0,2022-01-14,2022-04-15,baseline
0.22,0.25,0.3,0.5,1.2,-0.652437534842536,-0.06159415361305007,1.0,-0.8817401350564409,-0.07755528067472374,4.0,2022-02-18,2022-05-13,train_top5
0.22,0.25,0.3,0.7,1.2,-0.652437534842536,-0.06159415361305007,1.0,-0.8817401350564409,-0.07755528067472374,4.0,2022-02-18,2022-05-13,train_top5
0.22,0.25,0.3,0.9,1.2,-0.652437534842536,-0.06159415361305007,1.0,-0.8817401350564409,-0.07755528067472374,4.0,2022-02-18,2022-05-13,train_top5
0.15,0.25,0.3,0.5,1.2,-0.6546279903583537,-0.06068994144239369,4.0,-0.9076255183710119,-0.0777494548531062,67.0,2022-02-18,2022-05-13,train_top5
0.15,0.25,0.3,0.7,1.2,-0.6555762787567192,-0.06074737544388288,5.0,-0.9103560488202016,-0.07784419767376095,84.0,2022-02-18,2022-05-13,train_top5
0.15,0.25,0.4,0.7,1.6,-0.7215716893190639,-0.06343832479886609,533.0,-0.9676794707497046,-0.07911612732731887,404.0,2022-02-18,2022-05-13,baseline
0.18,0.22,0.3,0.5,1.2,-0.7313016042185163,-0.06662775890456388,1.0,-0.27563427078053454,-0.035030969465621696,505.0,2022-03-18,2022-06-10,train_top5
0.18,0.22,0.3,0.7,1.2,-0.7313016042185163,-0.06662775890456388,1.0,-0.27563427078053454,-0.035030969465621696,505.0,2022-03-18,2022-06-10,train_top5
0.18,0.22,0.3,0.9,1.2,-0.7313016042185163,-0.06662775890456388,1.0,-0.27563427078053454,-0.035030969465621696,505.0,2022-03-18,2022-06-10,train_top5
0.22,0.25,0.3,0.5,1.2,-0.7345491851264048,-0.06737788447685324,4.0,-0.2674549652264836,-0.03459220196244374,223.0,2022-03-18,2022-06-10,train_top5
0.22,0.25,0.3,0.7,1.2,-0.7345491851264048,-0.06737788447685324,4.0,-0.2674549652264836,-0.03459220196244374,223.0,2022-03-18,2022-06-10,train_top5
0.15,0.25,0.4,0.7,1.6,-0.8003581273151544,-0.06891552014315558,530.0,-0.27465209945894276,-0.03515695496739169,475.0,2022-03-18,2022-06-10,baseline
0.22,0.25,0.3,0.5,1.2,-0.53639890678274,-0.05804458551091926,1.0,0.05303379487113154,0.0067909529531755995,488.0,2022-04-15,2022-07-08,train_top5
0.22,0.25,0.3,0.7,1.2,-0.53639890678274,-0.05804458551091926,1.0,0.05303379487113154,0.0067909529531755995,488.0,2022-04-15,2022-07-08,train_top5
0.22,0.25,0.3,0.9,1.2,-0.53639890678274,-0.05804458551091926,1.0,0.05303379487113154,0.0067909529531755995,488.0,2022-04-15,2022-07-08,train_top5
0.18,0.22,0.3,0.5,1.2,-0.5381259955975641,-0.05748875417349138,4.0,0.04728260953016347,0.005882956792318082,720.0,2022-04-15,2022-07-08,train_top5
0.18,0.22,0.3,0.7,1.2,-0.5381259955975641,-0.05748875417349138,4.0,0.04728260953016347,0.005882956792318082,720.0,2022-04-15,2022-07-08,train_top5
0.15,0.25,0.4,0.7,1.6,-0.5725882758328538,-0.05948225189175498,447.0,0.05210857704920411,0.00670688970455597,520.0,2022-04-15,2022-07-08,baseline
0.15,0.18,0.3,0.5,1.8,-0.2862272135490345,-0.03496322583252298,1.0,-0.9550470703192285,-0.07614577968003267,259.0,2022-05-13,2022-08-05,train_top5
0.15,0.18,0.3,0.7,1.8,-0.28654353810493893,-0.034994806772741235,2.0,-0.9550470703192285,-0.07614577968003267,259.0,2022-05-13,2022-08-05,train_top5
0.15,0.18,0.3,0.9,1.8,-0.28654353810493893,-0.034994806772741235,2.0,-0.9550470703192285,-0.07614577968003267,259.0,2022-05-13,2022-08-05,train_top5
0.15,0.18,0.4,0.5,1.8,-0.2876365813564462,-0.03505964411527008,4.0,-0.9582970053494347,-0.07618615323845558,310.0,2022-05-13,2022-08-05,train_top5
0.15,0.18,0.4,0.7,1.8,-0.2879540591097775,-0.03509122505548833,5.0,-0.9582970053494347,-0.07618615323845558,310.0,2022-05-13,2022-08-05,train_top5
0.15,0.25,0.4,0.7,1.6,-0.29838215597742757,-0.035855397530051535,288.0,-0.958907647052733,-0.0762402504063961,322.0,2022-05-13,2022-08-05,baseline
0.15,0.22,0.3,0.5,2.0,-0.2838687706165262,-0.03463822342118842,1.0,-1.395890910215,-0.09020624319655196,376.0,2022-06-10,2022-09-02,train_top5
0.15,0.22,0.3,0.7,2.0,-0.2838687706165262,-0.03463822342118842,1.0,-1.395890910215,-0.09020624319655196,376.0,2022-06-10,2022-09-02,train_top5
0.15,0.22,0.3,0.9,2.0,-0.2838687706165262,-0.03463822342118842,1.0,-1.395890910215,-0.09020624319655196,376.0,2022-06-10,2022-09-02,train_top5
0.15,0.18,0.3,0.5,1.8,-0.28461635802520313,-0.034314335126385424,4.0,-1.3916130853328104,-0.09018911748056781,337.0,2022-06-10,2022-09-02,train_top5
0.15,0.18,0.3,0.7,1.8,-0.28461635802520313,-0.034314335126385424,4.0,-1.3916130853328104,-0.09018911748056781,337.0,2022-06-10,2022-09-02,train_top5
0.15,0.25,0.4,0.7,1.6,-0.29245866691653066,-0.03489677188974394,208.0,-1.4046159438839219,-0.09024944834872789,448.0,2022-06-10,2022-09-02,baseline
0.15,0.22,0.3,0.5,2.0,-0.5003284588406869,-0.05320831126607075,1.0,0.4866499904951189,0.0926785640682348,190.0,2022-07-08,2022-09-30,train_top5
0.15,0.22,0.3,0.7,2.0,-0.5003284588406869,-0.05320831126607075,1.0,0.4866499904951189,0.0926785640682348,190.0,2022-07-08,2022-09-30,train_top5
0.15,0.22,0.3,0.9,2.0,-0.5003284588406869,-0.05320831126607075,1.0,0.4866499904951189,0.0926785640682348,190.0,2022-07-08,2022-09-30,train_top5
0.15,0.25,0.3,0.5,2.0,-0.5027363702433136,-0.053330448141676035,4.0,0.48434529621690015,0.09287442152429021,292.0,2022-07-08,2022-09-30,train_top5
0.15,0.25,0.3,0.7,2.0,-0.5027363702433136,-0.053330448141676035,4.0,0.48434529621690015,0.09287442152429021,292.0,2022-07-08,2022-09-30,train_top5
0.15,0.25,0.4,0.7,1.6,-0.511648968787116,-0.05326093635018935,175.0,0.4827419746663296,0.08886020509406622,337.0,2022-07-08,2022-09-30,baseline
